date,code,name,high,low,close,change,volume,value
2026-09-08,7855,和運租車,42.35,42.05,42.1,-0.1,880794,37109417
2026-09-08,8011,台通,15.65,15.5,15.5,-0.2,262309,4076185
2026-09-08,8016,矽創,286.5,275.5,278,-13.5,1445548,403181275
2026-09-08,8021,尖點,461,431,450,-12,15127276,6795505286
2026-09-08,8028,昇陽半導體,249,235.5,236.5,-13,5180911,1243356923
2026-09-08,8033,雷虎,180.5,173.5,174.5,-2.5,2067173,364857987
2026-09-08,8039,台虹,327.5,294.5,294.5,-32.5,40437247,12419425467
2026-09-08,8045,達運光電,49.85,48.9,48.9,-0.9,93427,4608204
2026-09-08,8046,南電,1075,1015,1025,-25,6472507,6718372010
2026-09-08,8070,長華*,50.6,49.2,50,0.1,2123393,105779766
2026-09-08,8072,陞泰,26.2,25.8,26.05,0.15,78181,2032065
2026-09-08,8081,致新,254.5,248,248.5,-4.5,511500,127742408
2026-09-08,8101,華冠,11.95,11.25,11.95,-0.05,4067,46428
2026-09-08,8103,瀚荃,124.5,117.5,119.5,-4,3392006,408328440
2026-09-08,8104,錸寶,30.55,30.05,30.1,-0.45,308823,9327666
2026-09-08,8105,凌巨,15.35,14.85,15.1,-0.1,1837254,27758662
2026-09-08,8110,華東,44.8,43.65,43.75,-0.1,2739098,121096232
2026-09-08,8112,至上,90.9,89.4,89.5,-0.9,5469272,491332941
2026-09-08,8114,振樺電,187,179,180,-9.5,1287310,233683760
2026-09-08,8131,福懋科,63.6,61.8,61.9,0,1898288,118765500
2026-09-08,8150,南茂,93.5,89.7,90.3,-1,13892407,1262389477
2026-09-08,8162,微矽電子-創,64.5,60,61.2,0.1,194256,12004321
2026-09-08,8163,達方,31.05,30.05,30.15,-0.8,926953,28081814
2026-09-08,8201,無敵,11.6,11.55,11.55,-0.05,11842,137417
2026-09-08,8210,勤誠,938,901,907,-30,2470120,2250948829
2026-09-08,8213,志超,32.8,32.45,32.55,-0.4,277278,9032670
2026-09-08,8215,明基材,25.55,25.05,25.15,-0.2,426607,10789501
2026-09-08,8222,寶一,37.15,36.2,36.45,-0.25,313723,11453553
2026-09-08,8249,菱光,40.15,39.65,39.75,-0.25,162176,6469786
2026-09-08,8261,富鼎,180,170.5,170.5,-10.5,4186344,725029008
2026-09-08,8271,宇瞻,227,219.5,219.5,-2.5,1607586,357504758
2026-09-08,8341,日友,75.1,74.6,74.6,-0.5,238417,17839664
2026-09-08,8367,建新國際,40.75,40.45,40.7,-0.5,23885,972295
2026-09-08,8374,羅昇,84,80.1,80.1,-2.8,386493,31286263
2026-09-08,8404,百和興業-KY,15.95,15.3,15.55,-0.4,832347,12946917
2026-09-08,8411,福貞-KY,12.95,12.8,12.8,-0.2,60320,774021
2026-09-08,8422,可寧衛*,26.8,26.2,26.6,0.55,4435785,117587766
2026-09-08,8429,金麗-KY,6,5.96,5.96,-0.02,179043,1068939
2026-09-08,8438,昶昕,69.7,67.5,68,-0.7,99416,6802990
2026-09-08,8442,威宏-KY,47.1,45.9,46.65,1,85027,3958048
2026-09-08,8443,阿瘦,11.2,11.15,11.15,-0.1,10328,115593
2026-09-08,8454,富邦媒,245.5,239.5,239.5,-2.5,194492,46926931
2026-09-08,8462,柏文,167,164.5,167,2.5,44886,7453756
2026-09-08,8463,潤泰材,21.5,21.3,21.5,0,9471,205263
2026-09-08,8464,億豐,372,360,371.5,10.5,262648,96689815
